index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
138,🦅,animals,eagle,adler,águila,aigle,ワシ,독수리,águia,aquila,عقاب,elang,鹰,орел,kartal,nser,نسر,
139,🦉,animals,owl,eule,búho,chouette,フクロウ,부엉이,coruja,gufo,جغد,burung hantu,猫头鹰,сова,baykuş,bouma,بومة,
140,🦇,animals,bat,fledermaus,murciélago,chauve-souris,コウモリ,박쥐,morcego,pipistrello,خفاش,kelelawar,蝙蝠,летучая мышь,yarasa,khouffach,خفاش,
141,🐺,animals,wolf,wolf,lobo,loup,オオカミの顔,늑대 얼굴,rosto de lobo,lupo,گرگ,serigala,狼,морда волка,kurt,dib,وجه ذئب,
142,🐗,animals,boar,wildschwein,jabalí,sanglier,イノシシ,멧돼지,javali,cinghiale,گراز نر,babi hutan,野猪,кабан,yaban domuzu,7ellouf berri,خنزير بري,
143,🐴,animals,horse face,pferdegesicht,cara de caballo,tête de cheval,馬の顔,말 얼굴,rosto de cavalo,muso di cavallo,صورت اسب,wajah kuda,马头,морда лошади,at yüzü,3awd,وجه حصان,
144,🦄,animals,unicorn,einhorn,unicornio,licorne,ユニコーンの顔,유니콘 얼굴,rosto de unicórnio,unicorno,تک شاخ,unicorn,独角兽,голова единорога,tek boynuzlu at,3awd wa7id l9arn,وجه أحادي قرن,
145,🐝,animals,honeybee,biene,abeja,abeille,ミツバチ,꿀벌,abelha,ape,زنبور عسل,lebah madu,蜜蜂,пчела,bal arısı,n7la,نحلة,
146,🪱,animals,worm,wurm,gusano,lombric,ミミズ,지렁이,minhoca,verme,کرم,cacing,蠕虫,червяк,solucan,douda,دودة,
147,🐛,animals,bug,raupe,bicho,chenille,毛虫,송충이,inseto,insetto,حشره,serangga kecil,毛毛虫,гусеница,tırtıl,7achara,بق,
148,🦋,animals,butterfly,schmetterling,mariposa,papillon,チョウ,나비,borboleta,farfalla,پروانه,kupu-kupu,蝴蝶,бабочка,kelebek,faracha,فراشة,
149,🐌,animals,snail,schnecke,caracol,escargot,かたつむり,달팽이,caracol,lumaca,حلزون,siput,蜗牛,улитка,salyangoz,7alazoun,حلزون,
150,🐞,animals,lady beetle,marienkäfer,mariquita,coccinelle,テントウムシ,무당벌레,joaninha,coccinella,کفشدوزک,kumbang betina,瓢虫,божья коровка,uğur böceği,coccinelle,دعسوقة,
151,🐜,animals,ant,ameise,hormiga,fourmi,アリ,개미,formiga,formica,مورچه,semut,蚂蚁,муравей,karınca,nemla,نملة,
152,🪰,animals,fly,fliege,mosca,mouche,ハエ,파리,mosca,mosca,مگس,lalat,苍蝇,муха,karasinek,debbana,ذبابة,
153,🪲,animals,beetle,käfer,escarabajo,scarabée,カブトムシ,딱정벌레,besouro,coleottero,سوسک,kumbang,甲虫,жук,böcek,khounfousa,خنفساء,
154,🪳,animals,cockroach,kakerlake,cucaracha,cafard,ゴキブリ,바퀴벌레,barata,scarafaggio,سوسک حمام,kecoak,蟑螂,таракан,hamam böceği,serra9 zit,صرصور,
155,🦟,animals,mosquito,mücke,mosquito,moustique,蚊,모기,mosquito,zanzara,پشه,nyamuk,蚊子,комар,sivrisinek,chniwla,بعوضة,
156,🦗,animals,cricket,grille,grillo,criquet,バッタ,귀뚜라미,grilo,grillo,جیرجیرک,jangkrik,蟋蟀,сверчок,cırcır böceği,jrada,جدجد,
157,🕷️,animals,spider,spinne,araña,araignée,クモ,거미,aranha,ragno,عنکبوت,laba-laba,蜘蛛,паук,örümcek,3enkbout,عنكبوت,
158,🕸️,animals,spider web,spinnennetz,tela de araña,toile d’araignée,クモの巣,거미줄,teia de aranha,ragnatela,تار عنکبوت,jaring laba-laba,蜘蛛网,паутина,örümcek ağı,chebka dial 3enkbout,شبكة عنكبوت,
159,🦂,animals,scorpion,skorpion,escorpión,scorpion,サソリ,전갈,escorpião,scorpione,عقرب,kalajengking,蝎子,скорпион,akrep,3agrab,عقرب,
160,🐢,animals,turtle,schildkröte,tortuga,tortue,カメ,거북이,tartaruga,tartaruga,لاک پشت,kura-kura,龟,черепаха,kaplumbağa,fekroun,سلحفاة,
161,🐍,animals,snake,schlange,serpiente,serpent,ヘビ,뱀,cobra,serpente,مار,ular,蛇,змея,yılan,7ench,ثعبان,
162,🦎,animals,lizard,eidechse,lagarto,lézard,トカゲ,도마뱀,lagartixa,lucertola,مارمولک,kadal,蜥蜴,ящерица,kertenkele,bobriss,سحلية,
163,🦖,animals,t-rex,t-rex,t-rex,t-rex,ティラノサウルス,티라노사우루스,tiranossauro rex,t-rex,تی رکس,t-rex,霸王龙,ти рекс,t-rex,tyrannosaure,التيرانوصور,
164,🦕,animals,sauropod,sauropode,saurópodo,sauropode,草食恐竜,초식 공룡,saurópode,sauropode,سوسمار,sauropod,蜥蜴类,зауропод,soropod,sauropode,ديناصور صوروبودا,
165,🐙,animals,octopus,oktopus,pulpo,pieuvre,タコ,문어,polvo,polpo,هشت پا,gurita,章鱼,осьминог,ahtapot,calamar,أخطبوط,
166,🦑,animals,squid,tintenfisch,calamar,calamar,イカ,오징어,lula,calamaro,ماهی مرکب,cumi-cumi,乌贼,кальмар,mürekkep balığı,7ebbar,حبار,
167,🦐,animals,shrimp,garnele,gamba,crevette,エビ,새우,camarão,gamberetto,میگو,udang,虾,креветка,karides,l9imron,جمبري,
168,🦞,animals,lobster,hummer,bogavante,homard,ザリガニ,바닷가재,lagosta,aragosta,لابستر,lobster,龙虾,омар,ıstakoz,langouste,كركند,
169,🦀,animals,crab,krebs,cangrejo,crabe,カニ,꽃게,caranguejo,granchio,خرچنگ,kepiting,蟹,краб,yengeç,boujniba,سرطان,
170,🐡,animals,blowfish,kugelfisch,pez globo,poisson-lune,フグ,복어,baiacu,pesce palla,ماهی بادکنکی,ikan gembung,河豚,рыба еж,balon balığı,7outa mchouwka,سمكة منتفخة,
171,🐠,animals,tropical fish,tropenfisch,pez tropical,poisson tropical,熱帯魚,열대어,peixe tropical,pesce tropicale,ماهی استوایی,ikan tropis,热带鱼,тропическая рыба,tropikal balık,7outa stiwa2ia,سمكة استوائية,
172,🐟,animals,fish,fisch,pez,poisson,魚,물고기,peixe,pesce,ماهی,ikan,鱼,рыба,balık,7outa,سمكة,
173,🐬,animals,dolphin,delfin,delfín,dauphin,イルカ,돌고래,golfinho,delfino,دلفین,lumba-lumba,海豚,дельфин,yunus,delfin,دولفين,
174,🐳,animals,spouting whale,blasender wal,ballena soltando un chorro,baleine soufflant par son évent,潮吹きクジラ,물 뿜는 고래,baleia esguichando água,balena che spruzza acqua,نهنگ در حال آب فشانی,ikan paus menyembur,喷水的鲸,кит с фонтанчиком,su püskürten balina,baleine katnfekh lma,حوت بنافورة,
175,🐋,animals,whale,wal,ballena,baleine,クジラ,고래,baleia,balena,نهنگ,ikan paus,鲸鱼,кит,balina,baleine,حوت,
176,🦈,animals,shark,hai,tiburón,requin,サメ,상어,tubarão,squalo,کوسه,hiu,鲨鱼,акула,köpek balığı,requin,سمكة قرش,
177,🐊,animals,crocodile,krokodil,cocodrilo,crocodile,ワニ,악어,crocodilo,coccodrillo,تمساح,buaya,鳄鱼,крокодил,timsah,timsa7,تمساح,
178,🐅,animals,tiger,tiger,tigre,tigre,トラ,호랑이,tigre,tigre,ببر,harimau,老虎,тигр,kaplan,nmer,نمر,
179,🐆,animals,leopard,leopard,leopardo,léopard,ヒョウ,표범,leopardo,leopardo,پلنگ,macan tutul,豹子,леопард,leopar,fahd,فهد,
180,🦓,animals,zebra,zebra,cebra,zèbre,シマウマ,얼룩말,zebra,zebra,گورخر,zebra,斑马,зебра,zebra,7mar wa7shi,حمار وحشي,
181,🦍,animals,gorilla,gorilla,gorila,gorille,ゴリラ,고릴라,gorila,gorilla,گوریل,gorila,大猩猩,горилла,goril,ghourilla,غوريلا,
182,🦧,animals,orangutan,orang-utan,orangután,orang-outan,オランウータン,오랑우탄,orangotango,orangotango,اورانگوتان,orangutan,红毛猩猩,орангутан,orangutan,orang outan,إنسان الغاب,
183,🦣,animals,mammoth,mammut,mamut,mammouth,マンモス,매머드,mamute,mammut,ماموت,mamut,猛犸,мамонт,mamut,lmammout,ماموث,
184,🐘,animals,elephant,elefant,elefante,éléphant,ゾウ,코끼리,elefante,elefante,فیل,gajah,大象,слон,fil,lfil,فيل,
185,🦛,animals,hippopotamus,nilpferd,hipopótamo,hippopotame,カバ,하마,hipopótamo,ippopotamo,اسب آبی,kuda nil,河马,гиппопотам,hipopotam,faras nahr,فرس النهر,
186,🦏,animals,rhinoceros,nashorn,rinoceronte,rhinocéros,サイ,코뿔소,rinoceronte,rinoceronte,کرگدن,badak,犀牛,носорог,gergedan,wa7id l9arn,وحيد القرن,
187,🐪,animals,camel,dromedar,dromedario,dromadaire,ラクダ,낙타,camelo,dromedario,شتر,unta,骆驼,одногорбый верблюд,deve,jmel,جمل وحيد السنام,
188,🐫,animals,two-hump camel,kamel,camello,chameau,フタコブラクダ,쌍봉 낙타,camelo com duas corcovas,cammello,شتر دو کوهان,unta berpunuk dua,双峰骆驼,двугорбый верблюд,iki hörgüçlü deve,jmel 3ndou jouj 7dibbat,جمل ثنائي السنام,
189,🦒,animals,giraffe,giraffe,jirafa,girafe,キリン,기린,girafa,giraffa,زرافه,jerapah,长颈鹿,жираф,zürafa,zarafa,زرافة,
190,🦘,animals,kangaroo,känguru,canguro,kangourou,カンガルー,캥거루,canguru,canguro,کانگورو,kanguru,袋鼠,кенгуру,kanguru,kangourou,كنغر,
191,🦬,animals,bison,bison,bisonte,bison,バイソン,들소,bisão,bisonte,گاومیش,bison,大野牛,бизон,bizon,Tor bison,ثور أمريكي,
192,🐃,animals,water buffalo,wasserbüffel,búfalo de agua,buffle,水牛,물소,búfalo-asiático,bufalo d’acqua,بوفالوی آبی,kerbau,水牛,буйвол,manda,jamous,جاموس مائي,
193,🐂,animals,ox,ochse,buey,bœuf,牡牛,소,boi,bue,گاو نر,lembu,公牛,бык,öküz,tor,ثور,
194,🐄,animals,cow,kuh,vaca,vache,牝牛,젖소,vaca,mucca,گاو ماده,sapi,奶牛,корова,inek,begra,بقرة,
195,🐎,animals,horse,pferd,caballo,cheval,馬,말,cavalo,cavallo,اسب,kuda,马,лошадь,at,3awd,حصان,
196,🐖,animals,pig,schwein,cerdo,cochon,ブタ,돼지,porco,maiale,خوک,babi,猪,свинья,domuz,7ellouf,خنزير,
197,🐏,animals,ram,widder,carnero,bélier,牡羊,숫양,carneiro,montone,قوچ,domba jantan,公羊,баран,koç,kebch,كبش,
198,🐑,animals,ewe,schaf,oveja,mouton,羊,양,ovelha,pecora,میش,domba betina,母羊,овца,koyun,7awli,خروف,
199,🦙,animals,llama,lama,llama,lama,ラマ,라마,lhama,lama,لاما,llama,美洲鸵,лама,lama,lama,لاما,
200,🐐,animals,goat,ziege,cabra,chèvre,山羊,염소,cabra,capra,بز,kambing,山羊,коза,keçi,me3za,معزة,
201,🦌,animals,deer,hirsch,ciervo,cerf,シカ,사슴,cervo,cervo,گوزن,rusa,鹿,олень,geyik,ghzala,غزال,
202,🐕,animals,dog,hund,perro,chien,イヌ,개,cachorro,cane,سگ,anjing,狗,собака,köpek,kelb,كلب,
203,🐩,animals,poodle,pudel,caniche,caniche,プードル,푸들,poodle,barboncino,پودل,pudel,贵宾犬,пудель,kaniş,kanich,بودل,
204,🦮,animals,guide dog,blindenhund,perro guía,chien guide,盲導犬,안내견,cão-guia,cane guida,سگ راهنما,anjing pemandu,导盲犬,собака поводырь,rehber köpek,kelb dial l3oumi,كلب دليل,
205,🐕‍🦺,animals,service dog,assistenzhund,perro de servicio,chien d’assistance,介助犬,보조견,cão de serviço,cane da assistenza,سگ کمکی,anjing pembimbing,服务犬,служебная собака,yardımcı köpek,kelb dial l3win,كلب مساعدة,
206,🐈,animals,cat,katze,gato,chat,ネコ,고양이,gato,gatto,گربه,kucing,猫,кошка,kedi,mouch,قطة,
207,🐈‍⬛,animals,black cat,schwarze katze,gato negro,chat noir,黒猫,검은 고양이,gato preto,gatto nero,گربه سیاه,kucing hitam,黑猫,черная кошка,kara kedi,mouch k7el,هر أسود,
208,🪶,animals,feather,feder,pluma,plume,羽,깃털,pena,piuma,پَر,bulu,羽毛,перо,kuş tüyü,richa,ريشة,
209,🐓,animals,rooster,hahn,gallo,coq,おんどり,수탉,galo,gallo,خروس,ayam jago,公鸡,петух,horoz,ferroj,ديك,
210,🦃,animals,turkey,truthahn,pavo,dindon,七面鳥,칠면조,peru,tacchino,بوقلمون,kalkun,火鸡,индейка,hindi,bibi,ديك رومي,
211,🦤,animals,dodo,dodo,dodo,dodo,ドードー,도도새,dodô,dodo,دودو,dodo,渡渡鸟,дронт,dodo kuşu,dodo,طائر الدودو,
212,🦚,animals,peacock,pfau,pavo real,paon,クジャク,공작,pavão,pavone,طاووس,merak,孔雀,павлин,tavus kuşu,taouss,طاووس,
213,🦜,animals,parrot,papagei,loro,perroquet,オウム,앵무새,papagaio,pappagallo,طوطی,nuri,鹦鹉,попугай,papağan,perroquet,ببغاء,
214,🦢,animals,swan,schwan,cisne,cygne,白鳥,백조,cisne,cigno,قو,angsa leher panjang,天鹅,лебедь,kuğu,wezz,إوَزة,
215,🦩,animals,flamingo,flamingo,flamenco,flamant,フラミンゴ,홍학,flamingo,fenicottero,فلامینگو,flamingo,火烈鸟,фламинго,flamingo,flamingo,فلامينغو,
216,🕊️,animals,dove,taube,paloma,colombe,ハト,비둘기,pomba branca,colomba,کبوتر,merpati,鸽,голубь,güvercin,7mama,حمامة,
217,🐇,animals,rabbit,hase,conejo,lapin,ウサギ,토끼,coelho,coniglio,خرگوش,kelinci,兔子,кролик,tavşan,9niya,أرنب,
218,🦝,animals,raccoon,waschbär,mapache,raton laveur,アライグマ,너구리,guaxinim,procione,راکون,rakun,浣熊,морда енота,rakun,rakoun,راكون,
219,🦨,animals,skunk,stinktier,mofeta,mouffette,スカンク,스컹크,gambá,puzzola,راسو,sigung,臭鼬,скунс,kokarca,,ظربان,
220,🦡,animals,badger,dachs,tejón,blaireau,アナグマ,오소리,texugo,tasso,گورکن,musang,獾,барсук,porsuk,,غرير,
221,🦫,animals,beaver,biber,castor,castor,ビーバー,비버,castor,castoro,بیدستر,biwara,海狸,бобр,kunduz,castor,سمور,
222,🦦,animals,otter,otter,nutria,loutre,カワウソ,수달,lontra,lontra,سمور آبی,berang-berang,水獭,выдра,su samuru,9oundous,قندس,
223,🦥,animals,sloth,faultier,perezoso,paresseux,ナマケモノ,나무늘보,preguiça,bradipo,تنبل,kungkang,树懒,ленивец,tembel hayvan,keslan,كسلان,
224,🐁,animals,mouse,maus,ratón,souris,ハツカネズミ,생쥐,camundongo,topo,موش,tikus putih,老鼠,мышь,fare,far,فأر,
225,🐀,animals,rat,ratte,rata,rat,ネズミ,쥐,rato,ratto,موش صحرایی,tikus,耗子,крыса,sıçan,tobba,جرذ,
226,🐿️,animals,chipmunk,streifenhörnchen,ardilla,écureuil,リス,얼룩다람쥐,esquilo,scoiattolo,سنجاب راه راه,tupai,松鼠,бурундук,sincap,sinjab,سنجاب,
227,🦔,animals,hedgehog,igel,erizo,hérisson,ハリネズミ,고슴도치,porco-espinho,riccio,جوجه تیغی,landak,刺猬,еж,kirpi,9nfoud,قنفد,
228,🐾,animals,paw prints,tatzenabdrücke,huellas de pezuñas,empreintes d’animaux,肉球,곰발바닥,patas,impronte di zampe,رد پنجه,jejak kaki hewan,爪印,следы животного,pençe izi,trace dial 7ayawanat,آثار حوافر,
229,🐉,animals,dragon,drache,dragón,dragon,ドラゴン,용,dragão,drago,اژدها,naga,龙,дракон,ejderha,tinnin,تنين,
230,🐲,animals,dragon face,drachengesicht,cara de dragón,tête de dragon,ドラゴンの顔,용 얼굴,rosto de dragão,testa di drago,صورت اژدها,wajah naga,龙头,голова дракона,ejderha yüzü,wjeh dial tinnin,وجه تنين,
231,🐚,animals,spiral shell,schneckenhaus,caracola,coquille en spirale,巻き貝,달팽이집,caramujo,conchiglia,صدف مارپیچی,cangkang spiral,海螺,раковина,deniz kabuğu,coquillage,صدفة حلزونية,
232,😀,faces,grinning face,grinsendes gesicht,cara sonriendo,visage rieur,にっこり笑う,활짝 웃는 얼굴,rosto risonho,faccina con un gran sorriso,خنده,wajah gembira,嘿嘿,широко улыбается,sırıtan yüz,wjeh ki d7ek,وجه بابتسامة عريضة,
233,😃,faces,grinning face with big eyes,grinsendes gesicht mit großen augen,cara sonriendo con ojos grandes,visage souriant avec de grands yeux,わーい,눈을 크게 뜨고 웃는 얼굴,rosto risonho com olhos bem abertos,faccina con un gran sorriso e occhi spalancati,صورت خندان,wajah tersenyum lebar,哈哈,смеется,ağzı açık sırıtma,wjeh ki d7ek b 3inine me7louline,وجه مبتسم بعينين كبيرتين,
234,😄,faces,grinning face with smiling eyes,grinsendes gesicht mit lachenden augen,cara sonriendo con ojos sonrientes,visage très souriant aux yeux rieurs,笑顔,미소 짓는 눈으로 활짝 웃는 얼굴,rosto risonho com olhos sorridentes,faccina con sorriso e occhi sorridenti,خندان,wajah tersenyum lebar dan mata tertutup,大笑,смеется с закрытыми глазами,gülen gözlerle ağzı açık sırıtma,wjeh ki d7ek b 3inine da7kine,وجه مبتسم بعينين باسمتين,
